Object,Neighbor,Distance
4732,4783,14.716394
4739,4790,12.707239
4745,4773,14.135206
4747,4719,13.906583
4757,4786,14.084011
4773,4745,14.135206
4783,4732,14.716394
4786,4757,14.084011
4789,4828,10.116333
4790,4739,12.707239
4828,4789,10.116333
4849,4884,11.338084
4866,4882,13.397881
4878,4943,13.211526
4882,4866,13.397881
4884,4849,11.338084
4924,4958,10.514924
4943,4878,13.211526
4949,4959,14.926604
4958,4924,10.514924
4959,4949,14.926604
4977,4987,14.847387
4987,4977,14.847387
4996,5039,14.547503
5002,5070,14.464137
5009,5060,13.665284
5024,5046,10.613193
5039,4996,14.547503
5043,5044,13.385751
5044,5043,13.385751
5046,5024,10.613193
5050,5062,14.52353
5059,5061,13.963942
5060,5009,13.665284
5061,5059,13.963942
5062,5050,14.52353
5070,5002,14.464137
5073,5137,13.26485
5103,5108,7.6640835
5103,5144,11.258992
5108,5103,7.6640835
5108,5144,12.80365
5127,5153,14.219271
5137,5073,13.26485
5144,5108,12.80365
5144,5103,11.258992
5145,5201,14.114063
5153,5170,12.522793
5153,5127,14.219271
5170,5153,12.522793
5177,5226,14.310774
5191,5244,12.879929
5201,5145,14.114063
5203,5237,10.350254
5205,5222,7.1021123
5222,5205,7.1021123
5226,5177,14.310774
5232,5285,14.511856
5236,5264,12.653978
5237,5203,10.350254
5244,5191,12.879929
5264,5236,12.653978
5274,5310,9.537008
5276,5277,14.344885
5277,5312,11.790806
5277,5276,14.344885
5278,5328,12.60058
5285,5232,14.511856
5304,5363,13.203657
5310,5274,9.537008
5310,5362,11.0885725
5312,5277,11.790806
5328,5278,12.60058
5336,5392,11.550586
5350,5394,14.890548
5359,5410,10.242454
5362,5310,11.0885725
5363,5304,13.203657
5392,5336,11.550586
5394,5350,14.890548
5397,5462,14.335314
5410,5359,10.242454
5410,5429,8.579204
5416,5435,13.653298
5429,5410,8.579204
5435,5416,13.653298
5441,5476,13.79013
5462,5397,14.335314
5463,5515,14.83991
5472,5522,12.648083
5476,5441,13.79013
5483,5538,12.295601
5487,5518,8.341412
